timestamp,location,corridor_width_m,entry_flow_rate_pax_per_min,exit_flow_rate_pax_per_min,transport_arrival_burst,vehicle_count,queue_density_pax_per_m2,weather,festival_peak,pressure_index,risk_level,predicted_crush_window_min
19-04-2026 00:01,Somnath,7,38.46,30.77,0,5,0.93,Clear,0,29.75,Safe,15
19-04-2026 00:02,Somnath,7,41.95,33.56,0,2,1.38,Clear,0,32.44,Moderate,14
19-04-2026 00:03,Somnath,7,42.32,33.85,0,4,1.28,Clear,0,34.1,Moderate,16
19-04-2026 00:04,Somnath,7,51.73,41.38,0,5,1.43,Clear,0,39.99,Moderate,17
19-04-2026 00:05,Somnath,7,44.2,35.36,0,2,0.87,Clear,0,25.79,Safe,17
19-04-2026 00:06,Somnath,7,38.79,31.03,0,5,1.31,Clear,0,35.14,Moderate,15
19-04-2026 00:07,Somnath,7,38.98,31.18,0,2,1.32,Clear,0,30.82,Moderate,16
19-04-2026 00:08,Somnath,7,36.28,29.03,0,4,1.05,Clear,0,29.36,Safe,15
19-04-2026 00:09,Somnath,7,46.26,37.0,0,2,0.99,Clear,0,27.95,Safe,15
19-04-2026 00:10,Somnath,7,34.04,27.23,0,3,1.15,Clear,0,28.74,Safe,13
19-04-2026 00:11,Somnath,7,33.18,26.54,0,5,1.32,Clear,0,33.91,Moderate,14
19-04-2026 00:12,Somnath,7,39.41,31.53,0,4,1.11,Clear,0,30.99,Moderate,15
19-04-2026 00:13,Somnath,7,38.79,31.03,0,2,1.32,Clear,0,30.72,Moderate,21
19-04-2026 00:14,Somnath,7,37.49,29.99,0,4,1.39,Clear,0,34.41,Moderate,16
19-04-2026 00:15,Somnath,7,38.95,31.16,0,5,0.99,Clear,0,30.72,Moderate,15
19-04-2026 00:16,Somnath,7,44.7,35.76,0,3,1.49,Clear,0,36.02,Moderate,15
19-04-2026 00:17,Somnath,7,44.12,35.29,0,5,1.23,Clear,0,35.33,Moderate,17
19-04-2026 00:18,Somnath,7,39.65,31.72,0,3,1.16,Clear,0,30.27,Moderate,15
19-04-2026 00:19,Somnath,7,37.93,30.34,0,2,1.23,Clear,0,29.28,Safe,14
19-04-2026 00:20,Somnath,7,38.7,30.96,0,2,1.36,Clear,0,31.31,Moderate,14
19-04-2026 00:21,Somnath,7,38.08,30.46,0,4,1.3,Clear,0,33.37,Moderate,18
19-04-2026 00:22,Somnath,7,39.24,31.4,0,5,1.3,Clear,0,35.13,Moderate,17
19-04-2026 00:23,Somnath,7,28.57,22.86,0,2,1.54,Clear,0,31.37,Moderate,18
19-04-2026 00:24,Somnath,7,39.33,31.46,0,5,1.54,Clear,0,38.43,Moderate,22
19-04-2026 00:25,Somnath,7,36.29,29.03,0,3,1.37,Clear,0,32.42,Moderate,17
19-04-2026 00:26,Somnath,7,51.07,40.85,0,4,1.18,Clear,0,34.74,Moderate,16
19-04-2026 00:27,Somnath,7,40.98,32.78,0,2,1.07,Clear,0,27.86,Safe,14
19-04-2026 00:28,Somnath,7,41.92,33.53,0,4,1.11,Clear,0,31.56,Moderate,14
19-04-2026 00:29,Somnath,7,42.4,33.92,0,2,1.38,Clear,0,32.44,Moderate,17
19-04-2026 00:30,Somnath,7,43.57,34.86,0,5,1.19,Clear,0,34.59,Moderate,19
19-04-2026 00:31,Somnath,7,39.91,31.92,0,3,1.07,Clear,0,29.1,Safe,12
19-04-2026 00:32,Somnath,7,34.04,27.23,0,2,1.22,Clear,0,28.28,Safe,15
19-04-2026 00:33,Somnath,7,47.8,38.24,0,2,1.34,Clear,0,33.27,Moderate,14
19-04-2026 00:34,Somnath,7,38.8,31.04,0,2,1.49,Clear,0,33.15,Moderate,16
19-04-2026 00:35,Somnath,7,45.76,36.61,0,2,1.1,Clear,0,29.32,Safe,14
19-04-2026 00:36,Somnath,7,38.02,30.41,0,3,0.88,Clear,0,25.99,Safe,12
19-04-2026 00:37,Somnath,7,35.81,28.65,0,5,1.16,Clear,0,32.37,Moderate,15
19-04-2026 00:38,Somnath,7,41.26,33.01,0,3,1.24,Clear,0,31.73,Moderate,13
19-04-2026 00:39,Somnath,7,36.33,29.06,0,3,1.23,Clear,0,30.38,Moderate,13
19-04-2026 00:40,Somnath,7,48.14,38.52,0,2,1.42,Clear,0,34.49,Moderate,15
19-04-2026 00:41,Somnath,7,41.14,32.91,0,5,0.94,Clear,0,30.48,Moderate,16
